name,address,phone,hours
Araz Şabran-1,Şabran şəh. M.Ə. Rəsulzadə küç 57a,924,08:00-23:00
Araz 6-cı mkr-3,"Binəqədi rayonu, Azadlıq prospekti 187, korpus A.",924,08:00-23:00
Araz Sumqayıt-12,"Sumqayıt şəhəri, 6-cı mkr., ev 33E.",924,08:00-23:00
Araz Qaradağ-1,"Qaradağ rayonu, Salyan şosesi, 23-cü km. ",924,24/7
Araz Məmmədli-4,"Abşeron rayonu, Məmmədli qəsəbəsi",924,08:00-23:00
Araz Nərimanov-11,"Nərimanov rayonu, Faiq Yusifov küçəsi, ev 40.",924,08:00-23:00
Araz Qala-2,"Xəzər rayonu, Qala ŞTQ, Mərdəkan şosesi, ev 467 m.",924,08:00-23:00
Araz Bayıl-3,"Səbail rayonu, Qurban Abbasov küçəsi, ev 14.",924,08:00-23:00
Araz İnqilab-5,"Bakı şəhəri, Yasamal rayonu, C. Məmmədquluzadə küçəsi, ev 118.",924,08:00-23:00
Araz Yeni Yasamal-5,"Bakı şəhəri, Yasamal rayonu, Dadaş Bünyadzadə küçəsi, ev 3.",924,08:00-23:00
Araz Albalılıq-1,"Xəzər rayonu, Buzovna qəsəbəsi, Məhəmməd Namazov küçəsi, ev 169",924,24/7
Araz Pirşağı-2,"Sabunçu rayonu, Pirşağı qəsəbəsi, Qurtuluş küçəsi 275",924,08:00-23:00
Araz Masazır-7,"Abşeron rayonu, Masazır qəsəbəsi, Qurtuluş 93, bina 1C.",924,08:00-23:00
Araz Lənkəran-1,"Lənkəran rayonu, Gərmətük ŞTQ.",924,09:00-23:00
Araz Babək-1,"Bakı şəhəri, Xətai rayonu, Babək prospekti, 9-cu dairəvi küçə.",924,24/7
